'a'bo'ding'an'na'bo'li'si'yi'chang 阿伯丁安纳波利斯异常
'qing'chun'xing'jing'shen'chi'dai 青春型精神痴呆
'qing'chun'xing'jing'shen'fen'lie'zheng 青春型精神分裂症
'qing'da'mei'su'zhong'du 庆大霉素中毒
'qing'da'zheng'da'mei'su'yao'wu'fan'ying 庆大正大霉素药物反应
'qing'dao'zong'he'zheng'wei'qie'chu'shu'hou'zong'he'zheng 倾倒综合征胃切除术后综合征
'qing'du'di'neng 轻度低能
'qing'du'fu'fa'xing'yi'yu'zhang'ai 轻度复发性抑郁障碍
'qing'du'gong'jing'fa'yu'bu'liang 轻度宫颈发育不良
'qing'du'huo'zhong'du'yi'yu'fa'zuo'shuang'xiang'qing'gan'zhang'ai 轻度或中度抑郁发作双相情感障碍
'qing'du'jing'shen'fa'yu'chi'zhi 轻度精神发育迟滞
'qing'du'ren'shen'gao'xue'ya'zong'he'zheng 轻度妊娠高血压综合征
'qing'du'ren'shen'ou'tu'zao'qi 轻度妊娠呕吐早期
'qing'du'ren'shen'zhong'du'zheng 轻度妊娠中毒症
'qing'du'ren'zhi'zhang'ai 轻度认知障碍
'qing'du'tan'huan 轻度瘫痪
'qing'du'wai'yin'fa'yu'bu'liang 轻度外阴发育不良
'qing'du'xian'zhao'zi'xian 轻度先兆子痫
'qing'du'yi'yu'fa'zuo 轻度抑郁发作
'qing'du'yin'dao'fa'yu'bu'liang 轻度阴道发育不良
'qing'du'ying'yang'bu'liang 轻度营养不良
'qing'gan'fen'lie'zheng 情感分裂症
'qing'gan'xing'jing'shen'bing 情感性精神病
'qing'gan'xing'ren'ge'ji'huan 情感性人格疾患
'qing'gan'xing'ren'ge'zhang'ai 情感性人格障碍
'qing'gan'zhang'ai 情感障碍
'qing'gu'an'su'que'fa 氰钴胺素缺乏
'qing'guang'yan 青光眼
'qing'guang'yan'bing'fa'hong'mo'jie'zhuang'ti'yan 青光眼并发虹膜睫状体炎
'qing'guang'yan'bing'fa'shi'wang'mo'jing'mai'zu'se 青光眼并发视网膜静脉阻塞
'qing'guang'yan'de'luo'shi'zong'he'zheng 青光眼的洛氏综合征
'qing'guang'yan'he'bing'bai'nei'zhang 青光眼合并白内障
'qing'guang'yan'jie'zhuang'ti'yan'wei'xiang 青光眼睫状体炎危象
'qing'guang'yan'jie'zhuang'ti'yan'zong'he'zheng 青光眼睫状体炎综合征
'qing'guang'yan'lin'chuang'qian'qi 青光眼临床前期
'qing'guang'yan'xing'bai'nei'zhang 青光眼性白内障
'qing'hua'qing'de'du'xing'xiao'ying 氰化氢的毒性效应
'qing'hua'wu'de'du'xing'xiao'ying 氰化物的毒性效应
'qing'mei'bing 青霉病
'qing'mei'su'guo'min'shi 青霉素过敏史
'qing'mei'su'guo'min'xing'xiu'ke 青霉素过敏性休克
'qing'mei'su'yao'wu'fan'ying 青霉素药物反应
'qing'mei'su'zhong'du 青霉素中毒
'qing'nian'de'fei'yi'dao'su'yi'lai'xing'tang'niao'bing 青年的非胰岛素依赖型糖尿病
'qing'nian'ji'zhu'ce'tu 青年脊柱侧凸
'qing'nian'qi'bai'nei'zhang 青年期白内障
'qing'nian'qi'zi'shi'xing'ji'zhu'hou'tu 青年期姿势性脊柱后凸
'qing'nian'tuo'bei 青年驼背
'qing'pian'tan 轻偏瘫
'qing'qi'zhong'du 清漆中毒
'qing'shu'yi 轻鼠疫
'qing'tong'er'zong'he'zheng'yi'zhong'guang'liao'bing'fa'zheng 青铜儿综合征一种光疗并发症
'qing'tong'se 青铜色
'qing'tong'se'tang'niao'bing 青铜色糖尿病
'qing'xing 轻型
'qing'xu'bu'wen'xing'ren'ge'zhang'ai 情绪不稳型人格障碍
'qing'xu'chong'dong'he'jin'zhang'zhuang'tai 情绪冲动和紧张状态
'qing'xu'xing'hong'xi'bao'zeng'duo'zheng 情绪性红细胞增多症
'qing'xu'xing'shui'mian'zhang'ai 情绪性睡眠障碍
'qing'ya'mu'yu'de'du'xing'xiao'ying 鲭亚目鱼的毒性效应
'qing'yang'hua'jia'de'du'xing'xiao'ying 氢氧化钾的毒性效应
'qing'yu'tai'ling 轻于胎龄
'qing'zao'kuang 轻躁狂
'qing'zao'kuang'fa'zuo'shuang'xiang'qing'gan'zhang'ai 轻躁狂发作双相情感障碍
'qiu'bao'zi'jun'bing 球孢子菌病
'qiu'bao'zi'jun'bing'nao'mo'yan 球孢子菌病脑膜炎
'qiu'dan'bai'yi'chang 球蛋白异常
'qiu'ge'si'te'lao'si 丘格斯特劳斯
'qiu'hou'liang'xing'zhong'liu 球后良性肿瘤
'qiu'hou'shi'shen'jing'yan 球后视神经炎
'qiu'hou'yan'xing'jia'liu 球后炎性假瘤
'qiu'ji'fu'xie 秋季腹泻
'qiu'jie'mo'rou'ya'zhong 球结膜肉芽肿
'qiu'jin'mo'yan 球筋膜炎
'qiu'jun'xing'kou'yan'kou'yan 球菌性口炎口炎
'qiu'ma'bi 球麻痹
'qiu'ma'bi'jin'xing'xing 球麻痹进行性
'qiu'nao'chu'xie 丘脑出血
'qiu'nao'e'xing'zhong'liu 丘脑恶性肿瘤
'qiu'nao'gong'neng'shuai'jie 丘脑功能衰竭
'qiu'nao'hong'he'zong'he'zheng 丘脑红核综合征
'qiu'nao'xia'bu'chu'xie 丘脑下部出血
'qiu'nao'zong'he'zheng 丘脑综合征
'qiu'shang'he'nang'zhong 球上颌囊肿
'qiu'xing'bao'han'ti'pin'xue 球形包涵体贫血
'qiu'xing'jiao'mo 球形角膜
'qiu'xing'jing'zhuang'ti 球形晶状体
'qiu'zhen 丘疹
'qiu'zhen'xing'xun'ma'zhen'xun'ma'zhen'xing'tai'xuan'ying'er'tai'xuan 丘疹性荨麻疹荨麻疹性苔癣婴儿苔癣
'qu'bu'shi'zhen 屈部湿疹
'qu'ce'niu'pi'xuan 屈侧牛皮癣
'qu'chi 龋齿
'qu'chu'fa'yin'niu 取除发音钮
'qu'chu'fu'liao'sui'zhen'yi'liao 去除敷料随诊医疗
'qu'chu'gu'zhe'nei'gu'ding'zhuang'zhi 取除骨折内固定装置
'qu'chu'nei'gu'ding'zhuang'zhi 取除内固定装置
'qu'chu'ren'gong'jing'ti 取除人工晶体
'qu'chu'shu'niao'guan'zhi'jia'guan 取除输尿管支架管
'qu'chu'zi'gong'nei'bi'yun'qi 取除子宫内避孕器
'qu'da'nao'qiang'zhi 去大脑强直
'qu'gan'biao'qian'yi'wu'shui'ping'wei'te'zhi 躯干表浅异物水平未特指
'qu'gan'bu'feng'wo'zu'zhi'yan 躯干部蜂窝组织炎
'qu'gan'bu'jiao'jie'e'xing'zhong'liu 躯干部交界恶性肿瘤
'qu'gan'bu'jie 躯干部疖
'qu'gan'bu'nong'zhong 躯干部脓肿
'qu'gan'bu'yan'xing'zhong'wu 躯干部炎性肿物
'qu'gan'bu'yong 躯干部痈
'qu'gan'chuang'shang'xing'qie'duan'shui'ping'wei'te'zhi 躯干创伤性切断水平未特指
'qu'gan'cuo'gou'liu 躯干错构瘤
'qu'gan'de'de'ju'bu'zhong'zhang'zhong'kuai'he'zhong'wu 躯干的的局部肿胀肿块和肿物
'qu'gan'duo'chu'de'kai'fang'xing'shang'kou 躯干多处的开放性伤口
'qu'gan'duo'chu'ji'ya'shang 躯干多处挤压伤
'qu'gan'duo'fa'xing'gu'zhe 躯干多发性骨折
'qu'gan'e'xing'zhou'wei'shen'jing'zhong'liu 躯干恶性周围神经肿瘤
'qu'gan'fu'shi'shang 躯干腐蚀伤
'qu'gan'heng'wen'ji'rou'liu 躯干横纹肌肉瘤
'qu'gan'ji'fa'xing'e'xing'zhong'liu 躯干继发性恶性肿瘤
'qu'gan'ji'rou'he'ji'jian'de'sun'shang 躯干肌肉和肌腱的损伤
'qu'gan'jie'di'zu'zhi'e'xing'zhong'liu 躯干结缔组织恶性肿瘤
'qu'gan'jie'di'zu'zhi'jiao'jie'xing'zhong'liu 躯干结缔组织交界性肿瘤
'qu'gan'jie'di'zu'zhi'liang'xing'zhong'liu 躯干结缔组织良性肿瘤
'qu'gan'kai'fang'xing'shang'kou'shui'ping'wei'te'zhi 躯干开放性伤口水平未特指
'qu'gan'lin'ba'guan'liu 躯干淋巴管瘤
'qu'gan'pi'fu'ca'shang'shui'ping'wei'te'zhi 躯干皮肤擦伤水平未特指
'qu'gan'pi'fu'e'xing'zhong'liu 躯干皮肤恶性肿瘤
'qu'gan'pi'fu'gan'ran 躯干皮肤感染
'qu'gan'pi'fu'he'pi'xia'zu'zhi'zhi'fang'liu'yang'liang'xing'zhong'liu 躯干皮肤和皮下组织脂肪瘤样良性肿瘤
'qu'gan'pi'fu'jiao'jie'e'xing'zhong'liu 躯干皮肤交界恶性肿瘤
'qu'gan'pi'fu'liang'xing'zhong'liu 躯干皮肤良性肿瘤
'qu'gan'pi'fu'yuan'wei'ai 躯干皮肤原位癌
'qu'gan'pi'xia'nang'zhong 躯干皮下囊肿
'qu'gan'qi'ta'bu'wei'zheng'xing'shou'shu'de'sui'zhen'yi'liao 躯干其他部位整形手术的随诊医疗
'qu'gan'qian'biao'dong'shang 躯干浅表冻伤
'qu'gan'shao'shang 躯干烧伤
'qu'gan'shen'jing'gen'he'qi'ta'shen'jing'sun'shang'de'hou'yi'zheng 躯干神经根和其它神经损伤的后遗症
'qu'gan'shen'jing'ji'shen'jing'gen'he'shen'jing'cong'de'sun'shang 躯干神经脊神经根和神经丛的损伤
'qu'gan'shen'jing'liang'xing'zhong'liu 躯干神经良性肿瘤
'qu'gan'sun'shang 躯干损伤
'qu'gan'sun'shang'shui'ping'wei'te'zhi 躯干损伤水平未特指
'qu'gan'wei'te'zhi'guan'jie'he'ren'dai'de'tuo'wei'niu'shang'he'lao'sun 躯干未特指关节和韧带的脱位扭伤和劳损
'qu'gan'xue'guan'liu 躯干血管瘤
'qu'gan'yuan'wei'hei'se'su'liu 躯干原位黑色素瘤
'qu'gan'zhi'fang'liu 躯干脂肪瘤
'qu'guang'bu'zheng 屈光不正
'qu'guang'cen'ci'xian'tian'xing 屈光参差先天性
'qu'guang'cen'ci'xing'ruo'shi 屈光参差性弱视
'qu'guang'de'qi'ta'ji'huan 屈光的其他疾患
'qu'guang'xing'yuan'shi 屈光性远视
'qu'mei'jun'bing'qu'jun'bing 曲霉菌病曲菌病
'qu'mei'jun'xing'fei'yan 曲霉菌性肺炎
'qu'ru'chong'yao'yi'wai'zhong'du'chang'chong'qing'guo'liang 驱蠕虫药意外中毒肠虫清过量
'qu'tan'ji'zhong'du 祛痰剂中毒
'qu'ti'gan'jue'xing'dian'xian 躯体感觉性癫痫
'qu'ti'hua'zhang'ai 躯体化障碍
'qu'ti'xing'shi'zhang'ai 躯体形式障碍
'qu'ti'yun'dong'xing'dian'xian 躯体运动性癫痫
'qu'tong'zheng'xing'tang'niao'bing 趋酮症性糖尿病
'qu'wu'ji'yin'qi'de'ci'ji'xing'jie'chu'xing'pi'yan 去污剂引起的刺激性接触性皮炎
'qu'xian'wei'dan'bai'zong'he'zheng 去纤维蛋白综合征
'qu'yu'xing'ya'ti'fa'yu'yi'chang 区域性牙体发育异常
'qu'zhang'jing'mai'yan 曲张静脉炎
'quan'bu'gai'hua'shang'pi'liu 颧部钙化上皮瘤
'quan'bu'gu'mo'chuan'kong 全部鼓膜穿孔
'quan'bu'lu'shi'jun'bing 犬布鲁氏菌病
'quan'bu'wai'bu'yan'ji'ma'bi 全部外部眼肌麻痹
'quan'chui'ti'ji'neng'jian'tui 全垂体机能减退
'quan'er'zai'zao'shu'hou'zhuang'tai 全耳再造术后状态
'quan'fei'pao'xing'fei'qi'zhong 全肺泡性肺气肿
'quan'gong'gu'zhe 颧弓骨折
'quan'gong'gu'zhe'ban'lu'nei'sun'shang 颧弓骨折伴颅内损伤
'quan'gou'duan'luo'xuan'ti'bing 犬钩端螺旋体病
'quan'gu'gu'zhe 颧骨骨折
'quan'gu'ji'shang'he'gu'gu'zhe 颧骨及上颌骨骨折
'quan'gu'jie'he 颧骨结核
'quan'gu'kai'fang'xing'gu'zhe 颧骨开放性骨折
'quan'gu'liang'xing'zhong'liu 颧骨良性肿瘤
'quan'gu'sui'bing 全骨髓病
'quan'gu'tong'zeng'duo'zheng 醛固酮增多症
'quan'lv'yi'xi'de'du'xing'xiao'ying 全氯乙烯的毒性效应
'quan'nian'xing'bian'ying'xing'bi'yan 全年性变应性鼻炎
'quan'pang'guang'bi'xian'wei'bian'xing 全膀胱壁纤维变性
'quan'ran'se'ti'dan'ti'tong'yuan'qian'he'ti'you'si'fen'lie'bu'fen'li 全染色体单体同源嵌合体有丝分裂不分离
'quan'ran'se'ti'dan'ti'xing'jian'shu'fen'lie'bu'li 全染色体单体性减数分裂不离
'quan'ran'se'ti'san'ti'xing'jian'shu'fen'lie'bu'fen'li 全染色体三体性减数分裂不分离
'quan'ran'se'ti'san'ti'xing'tong'yuan'qian'he'ti'you'si'fen'lie'bu'fen'li 全染色体三体性同源嵌合体有丝分裂不分离
'quan'se'su'ceng'yan 全色素层炎
'quan'se'su'mo'yan 全色素膜炎
'quan'shen'jing'jue'xing'ji'bing 全身惊厥性疾病
'quan'shen'shuai'jie 全身衰竭
'quan'shen'tuo'mao 全身脱毛
'quan'shen'xing'ai'zheng 全身性癌症
'quan'shen'xing'ba'er'tong'ti're 全身性巴尔通体热
'quan'shen'xing'bao'zi'si'jun'bing 全身性孢子丝菌病
'quan'shen'xing'duo'fa'xing'ying'hua 全身性多发性硬化
'quan'shen'xing'duo'han'zheng 全身性多汗症
'quan'shen'xing'fei'jing'jue'xing'dian'xian 全身性非惊厥性癫痫
'quan'shen'xing'gu'guan'jie'bing'yan'huang'zi'sun 全身性骨关节病炎黄子孙
'quan'shen'xing'he'xue'ye'xue'zhi'ji'zhong'du 全身性和血液学制剂中毒
'quan'shen'xing'ji'bing'yin'qi'de'ya'chi'tuo'luo 全身性疾病引起的牙齿脱落
'quan'shen'xing'ji'ya'shang 全身性挤压伤
'quan'shen'xing'jia'mo'zu'zhi'bao'jiang'jun'bing 全身性荚膜组织胞浆菌病
'quan'shen'xing'jing'jue 全身性惊厥
'quan'shen'xing'kang'sheng'su'zhong'du 全身性抗生素中毒
'quan'shen'xing'lei'qiu'bao'zi'jun'bing 全身性类球孢子菌病
'quan'shen'xing'lin'ba'jie'zeng'da 全身性淋巴结增大
'quan'shen'xing'mao'mei'jun'bing 全身性毛霉菌病
'quan'shen'xing'qiu'bao'zi'jun'bing 全身性球孢子菌病
'quan'shen'xing'qu'mei'bing 全身性曲霉病
'quan'shen'xing'shui'zhong 全身性水肿
'quan'shen'xing'su'li'xing'jie'he'bing 全身性粟粒性结核病
'quan'shen'xing'teng'tong 全身性疼痛
'quan'shen'xing'tu'la'jun'bing 全身性土拉菌病
'quan'shen'xing'xian'wei'nang'xing'gu'yan 全身性纤维囊性骨炎
'quan'shen'xing'ya'sheng'jun'bing 全身性芽生菌病
'quan'shen'xing'yin'qiu'jun'bing 全身性隐球菌病
'quan'shen'xing'ying'pi'bing 全身性硬皮病
'quan'shen'xing'ying'pi'bing'ban'fei'yan 全身性硬皮病伴肺炎
'quan'shen'xing'ying'pi'bing'ban'you'ji'bing 全身性硬皮病伴有肌病
'quan'shen'xing'ying'pi'bing'xing'fei'bing'bian 全身性硬皮病性肺病变
'quan'shen'xing'zhi'chen'ji'zheng'xing'da'nao'bian'xing 全身性脂沉积症性大脑变性
'quan'shen'xing'zhi'fang'ying'yang'bu'liang 全身性脂肪营养不良
'quan'tao'chong'gan'ran 犬绦虫感染
'quan'xin'shuai'jie 全心衰竭
'quan'xin'yan 全心炎
'quan'xue'xi'bao'jian'shao 全血细胞减少
'quan'xue'xi'bao'jian'shao'zheng'ban'you'ji'xing 全血细胞减少症伴有畸形
'quan'yan'qiu'yan 全眼球炎
'quan'ye'xing'fei'qi'zhong 全叶性肺气肿
'quan'zai'tong'guo'shao'zheng 醛甾酮过少症
'que'ban 雀斑
'que'fa'chong'zu'de'shi'wu'de'wen'ti 缺乏充足的食物的问题
'que'fa'de'qi'ta'xiao'ying 缺乏的其他效应
'que'fa'de'xiao'ying 缺乏的效应
'que'fa'shen'ti'duan'lian'de'wen'ti 缺乏身体锻炼的问题
'que'fa'xing'pin'xue 缺乏性贫血
'que'fa'xiu'xi'he'kong'xia'shi'jian'de'wen'ti 缺乏休息和空暇时间的问题
'que'fa'xue'xi'he'you'xi'de'ti'yan'de'wen'ti 缺乏学习和游戏的体验的问题
'que'fa'zhu'fang'de'wen'ti 缺乏住房的问题
'que'ren'ren'shen 确认妊娠
'que'tie'xing'pin'xue 缺铁性贫血
'que'tie'xing'pin'xue'de'te'shu'shai'xuan'jian'cha 缺铁性贫血的特殊筛选检查
'que'tie'xing'tun'yan'kun'nan 缺铁性吞咽困难
'que'xue'que'yang'xing'nao'bing'hou'yi'zheng 缺血缺氧性脑病后遗症
'que'xue'xing'chang'bing 缺血性肠病
'que'xue'xing'chang'yan 缺血性肠炎
'que'xue'xing'nao'xue'guan'bing 缺血性脑血管病
'que'xue'xing'shen'pi'zhi'huai'si 缺血性肾皮质坏死
'que'xue'xing'shi'li'zhang'ai 缺血性视力障碍
'que'xue'xing'shi'ru'tou'bing'bian 缺血性视乳头病变
'que'xue'xing'shi'shen'jing'bing'bian 缺血性视神经病变
'que'xue'xing'xin'ji'bing 缺血性心肌病
'que'xue'xing'xin'zang'bing 缺血性心脏病
'que'xue'xing'xin'zang'bing'de'te'shu'shai'xuan'jian'cha 缺血性心脏病的特殊筛选检查
'que'xue'xing'xin'zang'bing'he'qi'ta'xun'huan'xi'tong'ji'bing'jia'zu'shi 缺血性心脏病和其他循环系统疾病家族史
'que'xue'xing'xiong'tong 缺血性胸痛
'que'yang'xing'nao'bing'fei'xing'nao'bing 缺氧性脑病肺性脑病
'que'yang'zheng 缺氧症
'ran'fa'xing'pi'yan 染发性皮炎
'ran'fa'ye'guo'min 染发液过敏
'ran'liao'jie'chu'xing'ci'ji'xing'pi'yan 染料接触性刺激性皮炎
'ran'liao'jie'chu'xing'pi'yan 染料接触性皮炎
'ran'liao'yin'qi'de'bian'ying'xing'jie'chu'xing'pi'yan 染料引起的变应性接触性皮炎
'ran'se'ti'jin'chu'xian'yu'qian'zhong'qi'de'chong'fu 染色体仅出现于前中期的重复
'ran'se'ti'jin'chu'xian'yu'qian'zhong'qi'que'shi 染色体仅出现于前中期缺失
'ran'se'ti'qi'ta'bu'wei'que'shi 染色体其他部位缺失
'ran'se'ti'que'shi'ban'you'qi'ta'fu'za'xing'he'chong'pai 染色体缺失伴有其他复杂性和重排
'ran'se'ti'si'duan'bi'que'shi 染色体四短臂缺失
'ran'se'ti'wu'duan'bi'que'shi 染色体五短臂缺失
'ran'se'ti'yi'chang 染色体异常
'rao'ce'fu'ren'dai'chuang'shang'xing'po'lie 桡侧副韧带创伤性破裂
'rao'chi'gu'e'xing'zhong'liu 桡尺骨恶性肿瘤
'rao'chi'gu'kai'fang'xing'gu'zhe 桡尺骨开放性骨折
'rao'chi'gu'liang'xing'zhong'liu 桡尺骨良性肿瘤
'rao'gong'guan'jie'tuo'wei 桡肱关节脱位
'rao'gu'e'xing'zhong'liu 桡骨恶性肿瘤
'rao'gu'gu'gan'gu'zhe 桡骨骨干骨折
'rao'gu'gu'gan'kai'fang'xing'gu'zhe 桡骨骨干开放性骨折
'rao'gu'gu'zhe 桡骨骨折
'rao'gu'huan'zhuang'ren'dai'niu'shang 桡骨环状韧带扭伤
'rao'gu'jin'duan'gu'zhe 桡骨近端骨折
'rao'gu'jing'gu'zhe 桡骨颈骨折
'rao'gu'jing'tu'jian'qiao'yan 桡骨茎突腱鞘炎
'rao'gu'liang'xing'zhong'liu 桡骨良性肿瘤
'rao'gu'tou 桡骨头
'rao'gu'tou'gu'zhe 桡骨头骨折
'rao'gu'tou'tuo'wei 桡骨头脱位
'rao'gu'xia'duan'gu'zhe 桡骨下端骨折
'rao'gu'xia'duan'kai'fang'xing'gu'zhe 桡骨下端开放性骨折
'rao'gu'yuan'duan'tuo'wei 桡骨远端脱位
'rao'gu'zong'xing'duan'que'que'xian 桡骨纵形短缺缺陷
'rao'he'xing'ban'ceng'jian'xing'bai'nei'zhang 绕核性板层间性白内障
'rao'jing'mai'sun'shang 桡静脉损伤
'rao'shen'jing'ma'bi 桡神经麻痹
'rao'shen'jing'sun'hai 桡神经损害
'rao'shen'jing'sun'shang 桡神经损伤
'rao'wan'guan'jie'ren'dai'chuang'shang'xing'po'lie 桡腕关节韧带创伤性破裂
'rao'wan'guan'jie'tuo'wei 桡腕关节脱位
'rao'xue'guan'sun'shang 桡血管损伤
're'dai'bian'ping'tai'xuan 热带扁平苔癣
're'dai'cuo'chuang 热带痤疮
're'dai'hua'ban'xuan 热带花斑癣
're'dai'jing'luan'xing'jie'tan 热带痉挛性截瘫
're'dai'kui'yang 热带溃疡
're'dai'shi'zu'huo'zong'he'zheng 热带湿足或综合征
're'dai'su'zhen 热带粟疹
're'dai'xing'shi'suan'xi'bao'zeng'duo'zheng 热带性嗜酸细胞增多症
're'dai'xing'zhi'fang'li 热带性脂肪痢
're'huo'guang'de'qi'ta'xiao'ying 热和光的其他效应
're'huo'guang'de'xiao'ying 热和光的效应
're'she'bing 热射病
're'xing'cu'zhong 热性卒中
're'xing'fa're 热性发热
're'xing'shi'zhong'xing'pi'fu'bing 热性嗜中性皮肤病
're'xing'xu'tuo 热性虚脱
're'xing'yun'jue 热性晕厥
're'xun'ma'zhen 热荨麻疹
'ren'dai'gai'hua 韧带钙化
'ren'dai'nang'zhong 韧带囊肿
'ren'dai'nei'ren'shen 韧带内妊娠
'ren'dai'song'chi 韧带松弛
'ren'ge'ji'bing 人格疾病
'ren'ge'shen'jing'zheng 人格神经症
'ren'ge'zhang'ai'jing'shen'bing'tai 人格障碍精神病态
'ren'gong'bi'de'wan'quan'bu'fen'an'zhuang'he'tiao'zheng 人工臂的完全部分安装和调整
'ren'gong'er'wo'dian'ji'ba'chu'shu 人工耳蜗电极拔除术
'ren'gong'er'wo'zhi'ru'gan'ran 人工耳蜗植入感染
'ren'gong'hou 人工喉
'ren'gong'jing'ti'tuo'wei 人工晶体脱位
'ren'gong'jue'jing'hou'zong'he'zheng 人工绝经后综合征
'ren'gong'kuan'guan'jie'zhi'huan'shu'hou'gong'neng'zhang'ai 人工髋关节置换术后功能障碍
'ren'gong'liu'chan 人工流产
'ren'gong'liu'chan'he'bing'qu'xian'wei'dan'bai'zong'he'zheng 人工流产合并去纤维蛋白综合征
'ren'gong'liu'chan'he'bing'yang'shui'shuan'se 人工流产合并羊水栓塞
'ren'gong'liu'chan'hou'bo'san'xing'xue'guan'nei'ning'xue 人工流产后播散性血管内凝血
'ren'gong'liu'chan'hou'chang'chuan'kong 人工流产后肠穿孔
'ren'gong'liu'chan'hou'fu'tong 人工流产后腹痛
'ren'gong'liu'chan'hou'jue'yu 人工流产后绝育
'ren'gong'liu'chan'hou'pen'qiang'gan'ran 人工流产后盆腔感染
'ren'gong'liu'chan'hou'xiu'ke 人工流产后休克
'ren'gong'liu'chan'hou'yan'chi'chu'xie 人工流产后延迟出血
'ren'gong'liu'chan'hou'zi'gong'chuan'kong 人工流产后子宫穿孔
'ren'gong'liu'chan'hou'zi'gong'jing'zhan'lian 人工流产后子宫颈粘连
'ren'gong'liu'chan'hou'zi'gong'ren'dai'xue'zhong 人工流产后子宫韧带血肿
'ren'gong'po'mo'hou'fen'mian'yan'chi 人工破膜后分娩延迟
'ren'gong'shou'jing 人工授精
'ren'gong'tui'de'wan'quan'bu'fen'an'zhuang'he'tiao'zheng 人工腿的完全部分安装和调整
'ren'gong'xin'zang'ban'mo'shi'chang 人工心脏瓣膜失常
'ren'gong'xin'zang'ban'mo'yi'zhi'zhuang'tai 人工心脏瓣膜移植状态
'ren'gong'xue'guan'xue'shuan'xing'cheng 人工血管血栓形成
'ren'gong'yan'de'an'zhuang'he'tiao'zheng 人工眼的安装和调整
'ren'gong'yin'dao 人工阴道
'ren'gong'yin'dao'shu'hou'zhuang'tai 人工阴道术后状态
'ren'gong'zao'kou'de'guan'bi 人工造口的关闭
'ren'he'bu'wei'yin'qi'de'gan'ran'he'yan'zheng'xing'fan'ying 任何部位引起的感染和炎症性反应
'ren'he'chan'ke'yuan'yin'de'si'wang'fen'mian'hou'tian'nei 任何产科原因的死亡分娩后天内
'ren'he'shui'ping'chu'wai'jin'zhi 任何水平除外仅趾
'ren'he'shui'ping'chu'wai'zu 任何水平除外足
'ren'he'zhi'jie'chan'ke'yuan'yin'de'si'wang'fen'mian'hou'yi'nian'yi'shang 任何直接产科原因的死亡分娩后一年以上
'ren'kou'diao'cha'zhong'de'jian'kang'jian'cha 人口调查中的健康检查
'ren'lei'mian'yi'que'xian'bing'du'bing'jia'zu'shi 人类免疫缺陷病毒病家族史
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'bo'ji'te'lin'ba'liu 人类免疫缺陷病毒病造成的伯基特淋巴瘤
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'bu'ke'gui'lei'zai'ta'chu'de'xue'ye'xue'he'mian'yi'xue'de'yi'chang 人类免疫缺陷病毒病造成的不可归类在他处的血液学和免疫学的异常
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'chi'dai 人类免疫缺陷病毒病造成的痴呆
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'chuan'ran'bing'he'ji'sheng'chong'bing 人类免疫缺陷病毒病造成的传染病和寄生虫病
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'duo'fa'xing'e'xing'zhong'liu 人类免疫缺陷病毒病造成的多发性恶性肿瘤
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'duo'fa'xing'gan'ran 人类免疫缺陷病毒病造成的多发性感染
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'e'xing'lin'ba'liu 人类免疫缺陷病毒病造成的恶性淋巴瘤
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'fei'huo'qi 人类免疫缺陷病毒病造成的非霍奇
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'fen'zhi'gan'jun'gan'ran 人类免疫缺陷病毒病造成的分枝杆菌感染
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'jie'he'bing 人类免疫缺陷病毒病造成的结核病
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'ju'xi'bao'bing'du'gan'ran 人类免疫缺陷病毒病造成的巨细胞病毒感染
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'ka'bo'xi'rou'liu 人类免疫缺陷病毒病造成的卡波西肉瘤
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'ka'shi'fei'nang'chong'xing'fei'yan 人类免疫缺陷病毒病造成的卡氏肺囊虫性肺炎
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'lin'ba'zao'xue'he'you'guan'zu'zhi'de'qi'ta'e'xing'zhong'liu 人类免疫缺陷病毒病造成的淋巴造血和有关组织的其他恶性肿瘤
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'lin'ba'zu'zhi'jian'zhi'xing'fei'yan 人类免疫缺陷病毒病造成的淋巴组织间质性肺炎
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'nao'bing 人类免疫缺陷病毒病造成的脑病
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'nian'zhu'jun'bing 人类免疫缺陷病毒病造成的念珠菌病
'ren'lei'mian'yi'que'xian'bing'du'bing'zao'cheng'de'qi'ta'bing'du'gan'ran 人类免疫缺陷病毒病造成的其他病毒感染
