'a'ba'du'lu'zhe'na 阿跋度路柘那
'ran'wu 染污
'ran'wu'wu'zhi 染污无智
'ran'wu'yi 染污意
'ran'xi 染习
'ran'xin 染心
'ran'yi 染衣
'ran'yuan 染缘
'ran'zhe 染着
'rang'na'ba'tuo'luo 攘那跋陀罗
'rang'ri'shi 禳日蚀
'rang'yue'shi 禳月蚀
'rao'fo 遶佛
'rao'she 饶舌
'rao'ta 遶塔
'rao'ta'gong'de'jing 遶塔功德经
'rao'wang 饶王
'rao'wang'fo 饶王佛
'rao'yi 饶益
'rao'yi'you'qing'fa'xin 饶益有情发心
'rao'yi'you'qing'jie 饶益有情戒
're'bing 热病
're'na 惹那
're'na'ba'tuo'luo 惹那跋陀罗
're'na'zhan'da'luo 惹那战达罗
're'nao 热恼
're'shi'yan 热时炎
're'tie'di'yu 热铁地狱
're'tie'lun 热铁轮
'ren'bao 人宝
'ren'bing 任病
'ren'bo'luo'mi 忍波罗蜜
'ren'bu'duo'e'qu 忍不堕恶趣
'ren'cheng 人乘
'ren'ci 仁祠
'ren'dao 人道
'ren'di 忍地
'ren'ding 人定
'ren'fa 人法
'ren'fa 忍法
'ren'fa'wei 忍法位
'ren'fei'ren 人非人
'ren'gui 人鬼
'ren'hua 人华
'ren'ji'pin 人记品
'ren'ji'zhe 人吉遮
'ren'jia'hang 忍加行
'ren'jian 人见
'ren'jian 人间
'ren'jian'jie 人间界
'ren'jie 人界
'ren'jie 忍界
'ren'kai 忍铠
'ren'kong 人空
'ren'kong'guan 人空观
'ren'li 忍力
'ren'lin 人林
'ren'mang'suo 人莽娑
'ren'ming'bu'ting 人命不停
'ren'ming'di'yi 人命第一
'ren'ming'ren'ti'yi 认名认体异
'ren'niao 人鸟
'ren'niu'ju'wang 人牛俱妄
'ren'po 纴婆
'ren'po'chong 纴婆虫
'ren'qu 人趣
'ren'ren'ben'ju 人人本具
'ren'ru 忍辱
'ren'ru'bo'luo'mi 忍辱波罗蜜
'ren'ru'bo'luo'mi'pu'sa 忍辱波罗蜜菩萨
'ren'ru'cao 忍辱草
'ren'ru'di 忍辱地
'ren'ru'jing 忍辱经
'ren'ru'kai 忍辱铠
'ren'ru'tai'zi 忍辱太子
'ren'ru'xian 忍辱仙
'ren'ru'yi 忍辱衣
'ren'shan 忍善
'ren'shen 人身
'ren'shen'niu 人身牛
'ren'sheng 人生
'ren'shi 人师
'ren'shi'zi 人师子
'ren'shu 人树
'ren'shui 忍水
'ren'si'yi 人四依
'ren'ta 仁塔
'ren'ti 仁体
'ren'tian 人天
'ren'tian'cheng 人天乘
'ren'tian'jiao 人天教
'ren'tian'sheng'miao'shan'guo 人天胜妙善果
'ren'tian'yan'mu 人天眼目
'ren'tian'zhi'jing'yuan 人天致敬愿
'ren'tiao 忍调
'ren'tou'zhuang 人头幢
'ren'tu 忍土
'ren'tuo'luo'ni 忍陀罗尼
'ren'wang 仁王
'ren'wang'ban're'jing 仁王般若经
'ren'wang'bo're'bo'luo'mi'jing 仁王般若波罗蜜经
'ren'wang'bo're'nian'song'fa 仁王般若念诵法
'ren'wang'bo're'tuo'luo'ni'shi 仁王般若陀罗尼释
'ren'wang'bo're'wu'tan'fa 仁王般若五坛法
'ren'wang'gong 仁王供
'ren'wang'hu'guo'bo're'bo'luo'mi'jing 仁王护国般若波罗蜜经
'ren'wang'hui 仁王会
'ren'wang'jiang 仁王讲
'ren'wang'jing 仁王经
'ren'wang'jing'ba'yu 仁王经八喻
'ren'wang'jing'fa 仁王经法
'ren'wang'jing'yi'gui 仁王经仪轨
'ren'wang'nian'song'fa 仁王念诵法
'ren'wang'pu'sa 仁王菩萨
'ren'wang'tuo'luo'ni 仁王陀罗尼
'ren'wang'tuo'luo'ni'shi 仁王陀罗尼释
'ren'wang'zhou 仁王咒
'ren'wang'zun 仁王尊
'ren'wei 忍位
'ren'wo 人我
'ren'wo'jian 人我见
'ren'wu'wo 人无我
'ren'wu'wo'zhi 人无我智
'ren'xian 人仙
'ren'xian 忍仙
'ren'xian'jing 人仙经
'ren'xiang 人相
'ren'xing 忍行
'ren'xing'wu'de 忍行五德
'ren'xiong'shi'zi 人雄师子
'ren'yao'wang'zi 人药王子
'ren'ye'lin 刃叶林
'ren'yin 人因
'ren'you 人有
'ren'yun 任运
'ren'zei'wei'zi 认贼为子
'ren'zhe 仁者
'ren'zhi 人执
'ren'zhi 忍智
'ren'zhong'fen'tuo'li'hua 人中分陀利华
'ren'zhong'niu'wang 人中牛王
'ren'zhong'san'e 人中三恶
'ren'zhong'shi'zi 人中师子
'ren'zhong'shu 人中树
'ren'zhong'zun 人中尊
'ren'zun 人尊
'ren'zun 仁尊
'ri'ben'fo'jiao 日本佛教
'ri'ben'fo'si'zhi'shi 日本佛寺之始
'ri'ben'fo'xiang'zhi'shi 日本佛像之始
'ri'ben'jing'tu'zhen'zong'si'fa 日本净土真宗四法
'ri'ben'suo'wei'jing'tu'zhen'zong'qi'zu 日本所谓净土真宗七祖
'ri'ben'zong'pai 日本宗派
'ri'cang'jing 日藏经
'ri'chu'lun'zhe 日出论者
'ri'gong 日宫
'ri'guang 日光
'ri'guang'pu'sa 日光菩萨
'ri'guang'san'mo'ti 日光三摩提
'ri'jing'mo'ni 日精摩尼
'ri'lian 日莲
'ri'lian'zong 日莲宗
'ri'lun 日轮
'ri'tian 日天
'ri'tian'zhong 日天众
'ri'tian'zi 日天子
'ri'xiang'guan 日想观
'ri'xuan'san'mei 日旋三昧
'ri'yao 日曜
'ri'yu 日域
'ri'yu'zhong 日禹中
'ri'yue'deng'ming'fo 日月灯明佛
'ri'yue'lun 日月轮
'ri'zhong 日种
'ri'zhong'feng'jing 日中讽经
'ri'zhuang'hua'yan'gu 日幢华眼鼓
'ri'zi'wang'suo'wen'jing 日子王所问经
'rong'hua 荣华
'rong'san'shi'jian'shi'fo 融三世间十佛
'rong'san'shi'jian'shi'shen 融三世间十身
'rong'shi 融识
'rong'tong 融通
'rong'tong'nian'fo 融通念佛
'rong'tong'nian'fo'yuan'qi 融通念佛缘起
'rong'tong'nian'fo'zong 融通念佛宗
'rong'tong'tao'tai 融通淘汰
'rong'tong'wang'xiang 融通妄想
'rong'tong'yuan'men'zhang 融通圆门章
'rong'you'shi 容有释
'rou'deng 肉灯
'rou'deng'rou'xiang 肉灯肉香
'rou'he'ren'ru'yi 柔和忍辱衣
'rou'he'zhi'zhi'zhe 柔和质直者
'rou'ji 肉髻
'rou'ruan 柔软
'rou'ruan'yu 柔软语
'rou'se 肉色
'rou'shan 肉山
'rou'shen 肉身
'rou'shen'pu'sa 肉身菩萨
'rou'shi 肉食
'rou'shi'shi'guo 肉食十过
'rou'shun'ren 柔顺忍
'rou'tuan'xin 肉团心
'rou'xin 肉心
'rou'yan 肉眼
'ru'a'pi'da'mo'lun 入阿毘达磨论
'ru'ban'nie'pan 入般涅盘
'ru'bu'er'men 入不二门
'ru'chu'er'men 入出二门
'ru'da'cheng'lun 入大乘论
'ru'dao 入道
'ru'dian 如电
'ru'ding 入定
'ru'ding'bu'ding'yin'jing 入定不定印经
'ru'ding'rui 入定瑞
'ru'ding'yin 入定印
'ru'ding'zuo'lun 入定作论
'ru'dong 蠕动
'ru'fa 如法
'ru'fa'ai'ran 如法爱染
'ru'fa'ai'ran'fa 如法爱染法
'ru'fa'bei'dou'fa 如法北斗法
'ru'fa'da'ren'wang'hui 如法大仁王会
'ru'fa'fo'yan 如法佛眼
'ru'fa'jia'sha'se'san'zhong 如法袈裟色三种
'ru'fa'jie 入法界
'ru'fa'jie'pin 入法界品
'ru'fa'jie'ti'xing'jing 入法界体性经
'ru'fa'jie'wu'liang 入法界无量
'ru'fa'kong'que'jing'fa 如法孔雀经法
'ru'fa'nian'fo 如法念佛
'ru'fa'ren'wang'hui 如法仁王会
'ru'fa'xing'shi'ji'san'ming 如法性实际三名
'ru'fa'zhi 如法治
'ru'fa'zun'sheng 如法尊胜
'ru'fo 入佛
'ru'fo 濡佛
'ru'fo'gong'yang 入佛供养
'ru'fo'ping'deng'jie 入佛平等戒
'ru'gu 入骨
'ru'guan 入棺
'ru'guan 入观
'ru'guang 乳光
'ru'guang'fo'jing 乳光佛经
'ru'guang'jing 乳光经
'ru'hai'zi 乳海子
'ru'hua 如化
'ru'huan 如幻
'ru'huan'ji'kong 如幻即空
'ru'huan'jia'you 如幻假有
'ru'huan'san'mei 如幻三昧
'ru'huan'san'mo'di 如幻三摩地
'ru'ji 入寂
'ru'jian'dao 入见道
'ru'jin'gang'san'mei 如金刚三昧
'ru'jin'gang'wen'ding'yi'jing 入金刚问定意经
'ru'jing 乳经
'ru'kan 入龛
'ru'kong 入空
'ru'kong 如空
'ru'lai 如来
'ru'lai'bao'pu'sa 如来宝菩萨
'ru'lai'bei 如来呗
'ru'lai'bei'pu'sa 如来悲菩萨
'ru'lai'bu 如来部
'ru'lai'bu'si'yi'fa'shen 如来不思议法身
'ru'lai'bu'si'yi'jing'jie'jing 如来不思议境界经
'ru'lai'bu'si'yi'mi'mi'da'cheng'jing 如来不思议秘密大乘经
'ru'lai'chan 如来禅
'ru'lai'chang'zhu 如来常住
'ru'lai'ci'pu'sa 如来慈菩萨
'ru'lai'di 如来地
'ru'lai'du'zheng'zi'shi'san'mei'jing 如来独证自誓三昧经
'ru'lai'fang'bian'shan'qiao'zhou'jing 如来方便善巧咒经
'ru'lai'guang'ming'chu'yi'huan'ru 如来光明出已还入
'ru'lai'guo'shang'fa'men 如来果上法门
'ru'lai'hao'xiang'pu'sa 如来毫相菩萨
'ru'lai'hui 如来会
'ru'lai'hui 如来慧
'ru'lai'jia 如来家
'ru'lai'jing'hua'zhong 如来净华众
'ru'lai'li'qi'di'pu'sa 如来砾乞底菩萨
'ru'lai'mi'mi'cang'jing 如来秘密藏经
'ru'lai'mi'mi'hui'jing 如来秘密慧经
'ru'lai'min'pu'sa 如来愍菩萨
'ru'lai'quan'yin 如来拳印
'ru'lai'ri 如来日
'ru'lai'san'mei'ye 如来三昧耶
'ru'lai'she'pu'sa 如来舌菩萨
'ru'lai'she'pu'sa 如来舍菩萨
'ru'lai'shen 如来身
'ru'lai'shen'li'pin 如来神力品
'ru'lai'shi 如来使
'ru'lai'shi 如来室
'ru'lai'shi 如来识
'ru'lai'shi'jiao'sheng'jun'wang'jing 如来示教胜军王经
'ru'lai'shi'zi'hou'jing 如来师子吼经
'ru'lai'shou'liang'pin 如来寿量品
'ru'lai'suo'de'fa 如来所得法
'ru'lai'suo'shuo'qing'jing'tiao'fu'jing 如来所说清净调伏经
'ru'lai'suo'shuo'shi'xian'zhong'sheng'jing 如来所说示现众生经
'ru'lai'ti'xing'wu'sheng'guan 如来体性无生观
'ru'lai'wu 如来舞
'ru'lai'wu'bian'shi'yuan'shi 如来无边誓愿事
'ru'lai'wu'zhong'shuo'fa 如来五种说法
'ru'lai'xi'pu'sa 如来喜菩萨
'ru'lai'xiao'pu'sa 如来笑菩萨
'ru'lai'xin'jing 如来心经
'ru'lai'ya'pu'sa 如来牙菩萨
'ru'lai'yi 如来衣
'ru'lai'ying'gong'deng'zheng'jue 如来应供等正觉
'ru'lai'ying'zheng'bian'zhi 如来应正遍知
'ru'lai'yu'pu'sa 如来语菩萨
'ru'lai'zang 如来藏
'ru'lai'zang'jing 如来藏经
'ru'lai'zang'jing'shi'yu 如来藏经十喻
'ru'lai'zang'lun 如来藏论
'ru'lai'zang'xin 如来藏心
'ru'lai'zang'xing 如来藏性
'ru'lai'zang'yuan'qi 如来藏缘起
'ru'lai'zhi'yin'jing 如来智印经
'ru'lai'zi'shi'san'mei'jing 如来自誓三昧经
'ru'lai'zuo 如来座
'ru'leng'jia'jing 入楞伽经
'ru'leng'jia'xin'xuan'yi 入楞伽心玄义
'ru'li 如理
'ru'li'shi 如理师
'ru'li'zhi 如理智
'ru'lian'hua'zai'shui 如莲华在水
'ru'liang'zhi 如量智
'ru'long'ru'ya 如聋如哑
'ru'man'tu'luo'zhe 入曼荼罗者
'ru'meng 如梦
'ru'meng'huan'pao'ying 如梦幻泡影
'ru'mi 乳糜
'ru'mian'ru'ji 如绵入棘
'ru'mie 入灭
'ru'mu 乳木
'ru'nie'pan 入涅盘
'ru'ping 入瓶
'ru'qu 如去
'ru'ru 如如
'ru'ru'fo 如如佛
'ru'ru'jing 如如境
'ru'ru'ru'shuo 如如如说
'ru'ru'zhi 如如智
'ru'se 乳色
'ru'shan'xue'dao 入山学道
'ru'sheng 入圣
'ru'shi 入室
'ru'shi 如实
'ru'shi 如是
'ru'shi'bao 如是报
'ru'shi'ben'mo'jiu'jing'deng 如是本末究竟等
'ru'shi'bu'kong 如实不空
'ru'shi'guo 如是果
'ru'shi'kong 如实空
'ru'shi'kong'jing 如实空镜
'ru'shi'li 如是力
'ru'shi'lun 如实论
'ru'shi'lun'shu 如实论疏
'ru'shi'ti 如是体
'ru'shi'wo'wen 如是我闻
'ru'shi'wo'wen'yuan'qi 如是我闻元起
'ru'shi'xiang 如是相
'ru'shi'xing 如是性
'ru'shi'xiu'xing 如实修行
'ru'shi'xiu'xing'xiang'ying 如实修行相应
'ru'shi'yin 如是因
'ru'shi'yu'jing 如是语经
'ru'shi'yuan 如是缘
'ru'shi'zhi 如实智
'ru'shi'zhi 如实知
'ru'shi'zhi'jian 如实知见
'ru'shi'zhi'zhe 如实知者
'ru'shi'zhi'zi'xin 如实知自心
'ru'shi'zuo 如是作
'ru'shou 濡首
'ru'shou'fen'wei'jing 濡首分卫经
'ru'shui 乳水
'ru'shui'yan 乳水眼
'ru'shuo 如说
'ru'si 入寺
'ru'ta 入塔
'ru'tai'xiang 入胎相
'ru'tan 入檀
'ru'tang 入堂
'ru'tang'ba'jia 入唐八家
'ru'tang'wu'fa 入堂五法
'ru'tong 儒童
'ru'tong'pu'sa 儒童菩萨
'ru'wang'gong'ju'luo'yi 入王宫聚落衣
'ru'wei 乳味
'ru'wei'kai'lian'he'zhang 如未开莲合掌
'ru'wen'jie'shi 入文解释
'ru'wo'wo'ru 入我我入
'ru'wu'fen'bie'fa'men'jing 入无分别法门经
'ru'xiang 乳香
'ru'xiang 如响
'ru'xin 入信
'ru'xin 入心
'ru'yan 如焰
'ru'yao 乳药
'ru'yi 如意
'ru'yi'bao 如意宝
'ru'yi'bao'zhu 如意宝珠
'ru'yi'bao'zhu'fa 如意宝珠法
'ru'yi'bao'zong'chi'wang'jing 如意宝总持王经
'ru'yi'dian 如意殿
'ru'yi'fo 如意佛
'ru'yi'lun 如意轮
'ru'yi'lun'fa 如意轮法
'ru'yi'lun'gong 如意轮供
'ru'yi'lun'guan'yin 如意轮观音
'ru'yi'lun'jiang 如意轮讲
'ru'yi'lun'jing 如意轮经
'ru'yi'lun'lian'hua'xin'ru'lai 如意轮莲华心如来
'ru'yi'lun'pu'sa 如意轮菩萨
'ru'yi'lun'pu'sa'nian'song'fa 如意轮菩萨念诵法
'ru'yi'lun'tuo'luo'ni'jing 如意轮陀罗尼经
'ru'yi'lun'yu'jia 如意轮瑜伽
'ru'yi'mo'ni 如意摩尼
'ru'yi'mo'ni'tuo'luo'ni'jing 如意摩尼陀罗尼经
'ru'yi'ping 如意瓶
'ru'yi'qie'ping'deng'shan'gen 入一切平等善根
'ru'yi'tong 如意通
'ru'yi'wei'yu 如一味雨
'ru'yi'xin'tuo'luo'ni'zhou'jing 如意心陀罗尼咒经
'ru'yi'zhang 如意杖
'ru'yi'zhu 如意珠
'ru'yi'zhu'shen 如意珠身
'ru'yi'zhu'wang 如意珠王
'ru'yi'zu 如意足
'ru'yin'sheng'tuo'luo'ni 入音声陀罗尼
'ru'yu 如语
'ru'yuan 入院
'ru'zheng'ding'ju'yi 入正定聚益
'ru'zheng'li'lun 入正理论
'ru'zhi 入支
'ru'zhong 入众
'ru'zhong'sha'ren 乳中杀人
'ru'zhong'shi'yi 入众时衣
'ru'zhong'wu'fa 入众五法
'ru'zhong'xuan'men 入重玄门
'ru'zhong'yi 入众衣
'ru'zhu'chu'san'xin 入住出三心
'ru'zhu'fo'jing'jie'zhuang'yan'jing 入诸佛境界庄严经
'ruan'xian 阮咸
'ruan'yu 软语
'ruan'zei 软贼
'rui'chi'ye'jing 蕤呬耶经
'rui'xiang 瑞像
'rui'xiang 瑞相
'rui'yan 瑞岩
'rui'yan'zhu'ren 瑞岩主人
'rui'ying'ben'qi'jing 瑞应本起经
'rui'ying'hua 瑞应华
'run'sheng 润生
'run'sheng'ye 润生业
'run'ye 润业
'ruo'hong'wan'hu 弱吽鍐斛
'ruo'na 若那
'ruo'na'ba'tuo'luo 若那跋陀罗
'ruo'na'zhan'tuo'luo 若那战陀罗
'ruo'nan 若南
'ruo'ti'zi 若提子
'ruo'yan'di 若衍底
'sa'da'la'mo 萨达喇摩
'sa'da'mo'ben'tu'li'jia'su'da'lan 萨达摩奔荼利迦素怛缆
'sa'da'mo'fen'tu'li'jia 萨达磨芬荼利迦
'sa'da'mo'fen'tuo'li 萨达磨芬陀利
'sa'da'mo'fen'tuo'li'xiu'duo'luo 萨达磨芬陀利修多罗
'sa'dai'ye 萨跢也
'sa'di'ye 萨底也
'sa'duo 萨埵
'sa'duo'ban'na'qiu'he 萨多般那求诃
'sa'duo'la'she'da'mo 萨埵剌阇答摩
'sa'duo'qi'li 萨多琦梨
'sa'duo'wang'zi 萨埵王子
'sa'fu'he 馺缚诃
'sa'heng'duo'ban'da'luo 萨恒多般怛罗
'sa'jia'ye'jian 萨迦耶见
'sa'jing 洒净
'sa'li'sha'bo 萨利杀跛
'sa'luo'fu'she 萨罗缚奢
'sa'luo'guo 萨罗国
'sa'luo'guo'jing 萨罗国经
'sa'luo'ji 萨罗计
'sa'luo'sa'fa'di 萨罗萨伐底
'sa'na'li'jia 萨那利迦
'sa'po'chi'li'she 萨婆吃隶奢
'sa'po'duo'bu 萨婆多部
'sa'po'duo'bu'bi'zu'jia'zhan'yan 萨婆多部鼻祖迦旃延
'sa'po'he 馺婆诃
'sa'po'he 馺皤诃
'sa'po'he'la'ta'xi'tuo 萨婆曷剌他悉陀
'sa'po'ruo 萨婆若
'sa'po'sa'duo 萨婆萨埵
'sa'po'shen'ruo'ti'po 萨婆慎若提婆
'sa'po'xi'da'duo 萨婆悉达多
'sa'po'xi'duo 萨婆悉多
'sa'she'luo'suo 萨阇罗娑
'sa'shui 洒水
'sa'shui'guan'yin 洒水观音
'sa'shui'qi 洒水器
'sa'shui'yin 洒水印
'sa'shui'zhang 洒水杖
'sa'ta'ni'shi'fa'luo 萨他泥湿伐罗
'sa'tan'fen'tuo'li 萨昙分陀利
'sa'tou'luo 萨偷罗
'sa'tuo'bo'lun 萨陀波仑
'sa'tuo'po'luo'du'san'ren 飒陀婆罗度三人
'sa'tuo'po'luo'du'san'yin'nv 飒陀婆罗度三淫女
'sai'jia 塞迦
'sai'jian'di'luo 塞建地罗
'sai'jian'na 塞建那
'sai'jian'tuo 塞建陀
'sai'jian'tuo'luo 塞建陀罗
'sai'qian 赛钱
'san'a'seng'qi'jie 三阿僧祇劫
'san'ai 三爱
'san'an'ju 三安居
'san'ba'di 三拔谛
'san'ba'luo 三跋罗
'san'ba'ri 三八日
'san'ba'zhi 三跋致
'san'bai 三拜
'san'bai'fa 三白法
'san'bai'hui 三百会
'san'bai'liu'shi'hui 三百六十会
'san'bai'mao 三百矛
'san'bai'shi 三白食
'san'bai'si'shi'ba'jie 三百四十八戒
'san'bai'si'shi'yi'jie 三百四十一戒
'san'bai'wu'shi'jie 三百五十戒
'san'bai'you'xun 三百由旬
'san'bao 三宝
'san'bao 三报
'san'bao'en 三宝恩
'san'bao'jia'chi 三宝加持
'san'bao'jie 三宝阶
'san'bao'wu 三宝物
'san'bao'yi 三宝衣
'san'bao'yin 三宝印
'san'bao'zang 三宝藏
'san'bei 三辈
'san'ben'hua'yan'jing 三本华严经
'san'bian 三变
'san'bian'tu'tian 三变土田
'san'biao'ye 三表业
'san'bing 三病
'san'bing'ren 三病人
'san'bo'duo 三波多
'san'bo'luo'nie'ti 三波罗聂提
'san'bo'luo'qu'duo 三钵罗佉哆
'san'bo're 三般若
'san'bo'ti 三波提
'san'bu 三部
'san'bu'bei'jia 三部被甲
'san'bu'cheng 三不成
'san'bu'da'fa 三部大法
'san'bu'dou'fa 三部都法
'san'bu'dou'hui 三部都会
'san'bu'fen'nu 三部忿怒
'san'bu'guan'ding 三部灌顶
'san'bu'hu 三不护
'san'bu'hu'mo'fa 三部护摩法
'san'bu'jian'fa 三不坚法
'san'bu'jiang'san'shi 三部降三世
'san'bu'jing 三部经
'san'bu'jing'rou 三不净肉
'san'bu'mi'jing 三部秘经
'san'bu'ming'fei 三部明妃
'san'bu'ming'wang 三部明王
'san'bu'mu 三部母
'san'bu'neng 三不能
'san'bu'san'dian 三部三点
'san'bu'san'xin 三不三信
'san'bu'se 三部色
'san'bu'shan 三不善
'san'bu'shan'gen 三不善根
'san'bu'shi 三不失
'san'bu'shu'zhu 三部数珠
'san'bu'tui 三不退
'san'bu'zha 三补咤
'san'bu'zhong'zi 三部种子
'san'bu'zhu 三部主
'san'bu'zhu'se 三部主色
'san'cao 三草
'san'cao'er'mu 三草二木
'san'chan 三忏
'san'chan 三禅
'san'chan'le 三禅乐
'san'chang'yue 三长月
'san'chang'zhai'yue 三长斋月
'san'che 三车
'san'che'jia 三车家
'san'cheng 三乘
'san'cheng'gong'shi'di 三乘共十地
'san'cheng'gong'xue'shi'di 三乘共学十地
'san'cheng'jia 三乘家
'san'cheng'jiao 三乘教
'san'cheng'tong'xiang'wu'ni 三乘通相五逆
'san'cheng'wu'lou'zhong'zi 三乘无漏种子
'san'cheng'zhen'shi'yi'cheng'fang'bian 三乘真实一乘方便
'san'chong'deng'chi 三重等持
'san'chong'dou'tan 三重都坛
'san'chong'fa'jie 三重法界
'san'chong'man'tuo'luo 三重曼陀罗
'san'chong'san'mei 三重三昧
'san'chong'yuan'tan'yu'si'chong'yuan'tan 三重圆坛与四重圆坛
'san'chu'a'lan're 三处阿兰若
'san'chu'chuan'xin 三处传心
'san'chu'lian'hua'zang'shi'jie 三处莲华藏世界
'san'chu'mu'cha 三处木叉
'san'chu'ru'fa'jie 三处入法界
'san'ci 三慈
'san'cong 三从
'san'da 三大
'san'da 三达
'san'da'a'seng'qi'jie 三大阿僧祇劫
'san'da'bu 三大部
'san'da'bu'shi'jie'shi'ru'shi'ti 三大部十界十如释体
'san'da'wu'bu 三大五部
'san'da'wu'xiao'bu 三大五小部
'san'dao 三倒
'san'dao 三道
'san'dao'zhen'yan 三道真言
'san'de 三德
'san'de'zhi'gui 三德指归
'san'deng 三等
'san'deng'chi 三等持
'san'deng'liu 三等流
'san'di 三谛
'san'di 散地
'san'di'xiang'ji 三谛相即
'san'di'yuan'rong 三谛圆融
'san'dian 三点
'san'dian'dao 三颠倒
'san'ding'ju 三定聚
'san'du 三毒
'san'du'shi'li 三毒尸利
'san'duan 三断
'san'duo 三多
'san'duo'ni'jia 散多尼迦
'san'e 三恶
'san'e'dao 三恶道
'san'e'jue 三恶觉
'san'e'qu 三恶趣
'san'fa 三法
'san'fa'dao'jie 三法道界
'san'fa'jie 三法界
'san'fa'lun 三法轮
'san'fa'miao 三法妙
'san'fa'ren 三法忍
'san'fa'shen 三法身
'san'fa'wu'cha 三法无差
'san'fa'xin 三发心
'san'fa'ye 三罚业
'san'fa'yin 三法印
'san'fa'zhan'zhuan'yin'guo'tong'shi 三法展转因果同时
'san'fan 三梵
'san'fan'nao 三烦恼
'san'fang'bian 三方便
'san'fen'bie 三分别
'san'fen'jia 三分家
'san'fen'ke'jing 三分科经
'san'fo 三佛
'san'fo'ding 三佛顶
'san'fo'li'di 三佛栗底
'san'fo'pu'ti 三佛菩提
'san'fo'shen 三佛身
'san'fo'tu 三佛土
'san'fo'tuo 三佛陀
'san'fo'xing 三佛性
'san'fo'yu 三佛语
'san'fo'zi 三佛子
'san'fu 三福
'san'fu 三缚
'san'fu'ba'xiao 三覆八校
'san'fu'jiu'pin 三福九品
'san'fu'ren 三夫人
'san'fu'tian 三福田
'san'fu'ye 三福业
'san'gang 三纲
'san'gen 三根
'san'gen'zuo'chan'shuo 三根坐禅说
'san'gong 散供
'san'gong'yang 三供养
'san'gou 三垢
'san'gu 三钴
'san'gu'yin 三钴印
'san'guan 三关
'san'guan 三观
'san'guang 三光
'san'guang'tian 三光天
'san'guang'tian'zi'xing'xiang 三光天子形像
'san'gui 三归
'san'gui 三皈
'san'gui 三轨
'san'gui 三鬼
'san'gui'hong'jing 三轨弘经
'san'gui'shou'fa 三归受法
'san'gui'wu'jie 三归五戒
'san'gui'wu'jie'gong'de'jing 三归五戒功德经
'san'gui'yi 三归依
'san'guo 三果
'san'guo 三过
'san'guo'lun'shi 三国论师
'san'guo'tu 三国土
'san'hang 三行
'san'he 三和
'san'heng'he'sha 三恒河沙
'san'hua 散华
'san'hua 散花
'san'hua'shi 散花师
'san'hua'tian'nv 散花天女
'san'huang'zhang 三荒章
'san'hui 三会
'san'hui 三慧
'san'hui'fa 三悔法
'san'hui'jing 三慧经
'san'hun 三魂
'san'huo 三惑
'san'huo 三火
'san'huo'tong'yi'duan 三惑同异断
'san'ji 三季
'san'ji 三机
'san'ji 三际
'san'ji 散忌
'san'ji'shao 三极少
'san'ji'shi 三际时
'san'ji'yi 三即一
'san'jia 三假
'san'jia'er'ji 三家二即
'san'jia'fu'xu'guan 三假浮虚观
'san'jia'guan 三假观
'san'jia'shi'she 三假施设
'san'jia'ye 三迦叶
'san'jian 三坚
'san'jian 三渐
'san'jian 三监
'san'jiao 三教
'san'jiao'tan 三角坛
'san'jie 三劫
'san'jie 三戒
'san'jie 三界
'san'jie 三结
'san'jie 三节
'san'jie 三阶
'san'jie'ba'ku 三界八苦
'san'jie'cang 三界藏
'san'jie'chuang 三界床
'san'jie'ci'fu 三界慈父
'san'jie'er'shi'wu'you 三界二十五有
'san'jie'fang'sheng 三节放生
'san'jie'fo'fa 三阶佛法
'san'jie'huo'zhai 三界火宅
'san'jie'jiao 三阶教
'san'jie'jing 三戒经
'san'jie'jiu'di 三界九地
'san'jie'kong'hua 三界空花
'san'jie'ku'lun 三界苦轮
'san'jie'liu'dao 三界六道
'san'jie'mo 三羯磨
'san'jie'san'qian'fo 三劫三千佛
'san'jie'san'qian'fo'ming'jing 三劫三千佛名经
'san'jie'tan 三戒坛
'san'jie'tuo 三解脱
'san'jie'tuo'men 三解脱门
'san'jie'wan'ling 三界万灵
'san'jie'wan'ling'pai 三界万灵牌
'san'jie'wei'yi'xin 三界唯一心
'san'jie'wu'yi 三阶五疑
'san'jie'xing'zhe 三阶行者
'san'jie'xiong 三界雄
'san'jie'yan 三界眼
'san'jie'yi'xin 三界一心
'san'jie'yuan 三阶院
'san'jie'zun 三界尊
'san'jin 三金
'san'jin'gang'guan 三金刚观
'san'jing 三净
'san'jing 三境
'san'jing 三敬
'san'jing 三经
'san'jing 散经
'san'jing'qi 三精气
'san'jing'rou 三净肉
'san'jing'tong'shen'lun 三经通申论
'san'jing'tou 三净头
'san'jing'yi'lun 三经一论
'san'jiu'xing'yin 三九行因
'san'ju 三举
'san'ju 三句
'san'ju 三聚
'san'ju'chan'hui'jing 三聚忏悔经
'san'ju'jiao 三聚教
'san'ju'jie 三聚戒
'san'ju'jing 三聚经
'san'ju'jing'jie 三聚净戒
'san'ju'wei'lun 三具硙轮
'san'ju'yuan'jie 三聚圆戒
'san'ju'zu 三具足
'san'juan'chao 三卷钞
'san'jue 三觉
'san'ke 三科
'san'ke'jian'jing 三科拣境
'san'kong 三空
'san'kong'bu'kong 三空不空
'san'kong'guan'men 三空观门
'san'kong'men 三空门
'san'kong'san'mo'di 三空三摩地
'san'ku 三苦
'san'le 三乐
'san'lei'jing 三类境
'san'li 三力
'san'li 三礼
